="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="-1.238",="-0.141",="0.074"
="",="(0.937)",="(0.150)",="(0.085)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.292***",="-0.045*",="-0.038***"
="",="(0.101)",="(0.026)",="(0.010)"
="year==2006",="0.000",="-0.072**",="0.178***"
="",="(.)",="(0.029)",="(0.020)"
="year==2011",="0.213**",="-0.064**",="0.005"
="",="(0.099)",="(0.028)",="(0.010)"
="year==2016",="0.220*",="0.000",="0.000"
="",="(0.121)",="(.)",="(.)"
="year==2021",="0.022",="-0.159***",="0.009"
="",="(0.022)",="(0.030)",="(0.014)"
="Constant",="0.009",="0.119***",="0.044***"
="",="(0.068)",="(0.033)",="(0.017)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.014",="0.017",="0.114"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="-2.037",="0.174",="0.270*"
="",="(1.631)",="(0.315)",="(0.162)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.372*",="0.078**",="-0.072***"
="",="(0.208)",="(0.038)",="(0.017)"
="year==2006",="-0.005",="0.085***",="0.165***"
="",="(0.035)",="(0.019)",="(0.016)"
="year==2011",="0.233",="0.080***",="-0.014"
="",="(0.154)",="(0.025)",="(0.012)"
="year==2016",="0.316",="0.108***",="-0.038"
="",="(0.243)",="(0.040)",="(0.023)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.019",="0.019",="0.136"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.1.)",="outcome var(ver2.1.)",="outcome var(ver2.1.)"
="growth rate",="1.275",="-1.291*",="-0.211"
="",="(1.646)",="(0.735)",="(0.314)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="-0.075",="0.280**",="-0.027"
="",="(0.220)",="(0.119)",="(0.043)"
="year==2006",="-0.096**",="0.134***",="0.142***"
="",="(0.045)",="(0.046)",="(0.025)"
="year==2011",="0.044",="0.173***",="-0.022"
="",="(0.036)",="(0.056)",="(0.021)"
="year==2016",="-0.186",="0.337***",="0.001"
="",="(0.239)",="(0.126)",="(0.047)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.336",="-0.870",="2.794***"
="",="(1.062)",="(0.699)",="(0.665)"
="L.share_college",="-0.237",="-0.003",="0.513***"
="",="(0.386)",="(0.367)",="(0.195)"
="N",="2477.000",="2451.000",="2480.000"
="widstat",="414.304",="433.301",="407.784"
="arf",="0.606",="3.115",="0.448"
="arfp",="0.437",="0.078",="0.504"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
