="Table 1C: FEIV"
="",="(1)",="(2)",="(3)",="(4)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="-0.027***",="-0.005",="-0.012",="0.001"
="",="(0.008)",="(0.013)",="(0.032)",="(0.033)"
="year==1996",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.032***",="-0.001",="-0.000",="-0.004"
="",="(0.001)",="(0.002)",="(0.004)",="(0.006)"
="year==2006",="0.032***",="0.002",="0.002",="0.001"
="",="(0.002)",="(0.001)",="(0.001)",="(0.004)"
="year==2011",="0.008***",="-0.023***",="-0.023***",="-0.024***"
="",="(0.001)",="(0.002)",="(0.002)",="(0.003)"
="year==2016",="0.000",="-0.033***",="-0.032***",="-0.034***"
="",="(.)",="(0.002)",="(0.005)",="(0.006)"
="year==2021",="0.030***",="0.000",="0.000",="0.000"
="",="(0.002)",="(.)",="(.)",="(.)"
="L.share_popfifold",="",="",="",="-0.060"
="",="",="",="",="(0.063)"
="L.share_college",="",="",="",="-0.045"
="",="",="",="",="(0.031)"
="Constant",="-0.008***",="",="",=""
="",="(0.002)",="",="",=""
="N",="2480.000",="2480.000",="2480.000",="2480.000"
="r2",="0.315",="0.351",="0.351",="0.354"
="widstat",="",="",="427.772",="407.784"
="arf",="",="",="0.129",="0.001"
="arfp",="",="",="0.720",="0.972"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
