="Table 2A: POLS"
="",="(1)",="(2)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="-0.087",="-0.165***"
="",="(0.201)",="(0.027)"
="year==1996",="0.000",="0.000"
="",="(.)",="(.)"
="year==2001",="0.339***",="0.068***"
="",="(0.028)",="(0.004)"
="year==2006",="0.185***",="0.056***"
="",="(0.033)",="(0.006)"
="year==2011",="0.155***",="0.029***"
="",="(0.028)",="(0.005)"
="year==2016",="0.000",="0.000"
="",="(.)",="(.)"
="year==2021",="0.220***",="0.013**"
="",="(0.034)",="(0.005)"
="Constant",="-0.225***",="0.022***"
="",="(0.043)",="(0.005)"
="N",="2411.000",="2480.000"
="r2",="0.070",="0.128"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.739**",="-0.057"
="",="(0.318)",="(0.053)"
="year==1996",="0.000",="0.000"
="",="(.)",="(.)"
="year==2001",="0.024",="0.041***"
="",="(0.033)",="(0.006)"
="year==2006",="-0.042",="0.041***"
="",="(0.026)",="(0.005)"
="year==2011",="-0.103***",="0.011**"
="",="(0.026)",="(0.005)"
="year==2016",="-0.341***",="-0.029***"
="",="(0.048)",="(0.007)"
="year==2021",="0.000",="0.000"
="",="(.)",="(.)"
="N",="2407.000",="2480.000"
="r2",="0.094",="0.138"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="1.621**",="-0.195"
="",="(0.815)",="(0.140)"
="year==1996",="0.000",="0.000"
="",="(.)",="(.)"
="year==2001",="0.011",="0.065***"
="",="(0.131)",="(0.024)"
="year==2006",="0.017",="0.045***"
="",="(0.061)",="(0.014)"
="year==2011",="-0.093",="0.018"
="",="(0.066)",="(0.012)"
="year==2016",="-0.442***",="-0.011"
="",="(0.131)",="(0.022)"
="year==2021",="0.000",="0.000"
="",="(.)",="(.)"
="L.share_popfifold",="-0.313",="0.395"
="",="(0.885)",="(0.295)"
="L.share_college",="1.187**",="0.187*"
="",="(0.468)",="(0.113)"
="N",="2407.000",="2480.000"
="widstat",="433.354",="407.784"
="arf",="3.968",="1.947"
="arfp",="0.047",="0.164"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
