="Table 4: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.076",="0.037",="0.018",="0.226*",="2.307*",="-0.304"
="",="(0.155)",="(0.202)",="(0.036)",="(0.131)",="(1.214)",="(0.203)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="-0.035***",="0.152***",="0.019***",="-0.043**",="0.018",="0.084**"
="",="(0.012)",="(0.025)",="(0.006)",="(0.021)",="(0.206)",="(0.039)"
="year==2006",="-0.006",="0.002",="0.025***",="-0.002",="0.089",="0.050**"
="",="(0.006)",="(0.017)",="(0.005)",="(0.010)",="(0.090)",="(0.023)"
="year==2011",="-0.024**",="-0.036**",="-0.007*",="-0.043***",="-0.043",="0.024"
="",="(0.010)",="(0.018)",="(0.004)",="(0.010)",="(0.087)",="(0.018)"
="year==2016",="-0.078***",="-0.223***",="-0.032***",="-0.115***",="-0.523***",="0.003"
="",="(0.017)",="(0.027)",="(0.005)",="(0.020)",="(0.197)",="(0.033)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.335***",="-0.217",="-0.245***",="-0.195",="-0.490",="0.463"
="",="(0.119)",="(0.236)",="(0.069)",="(0.143)",="(1.071)",="(0.341)"
="L.share_college",="-0.033",="0.864***",="-0.024",="-0.289*",="3.760***",="0.233"
="",="(0.046)",="(0.135)",="(0.036)",="(0.157)",="(1.307)",="(0.336)"
="N",="700.000",="700.000",="700.000",="1780.000",="1707.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="339.852",="365.785",="339.852"
="arf",="0.238",="0.032",="0.230",="2.894",="3.610",="2.240"
="arfp",="0.627",="0.857",="0.632",="0.090",="0.058",="0.135"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY3"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate",="0.264***",="0.217",="0.164",="-0.072",="1.004***",="-0.746***"
="",="(0.080)",="(0.311)",="(0.116)",="(0.148)",="(0.300)",="(0.211)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="-0.149***",="-0.356***",="0.165***",="-0.069**",="-0.223***",="0.247***"
="",="(0.010)",="(0.038)",="(0.012)",="(0.032)",="(0.061)",="(0.041)"
="year==2006",="-0.308***",="1.391***",="-0.247***",="-0.219***",="1.103***",="-0.153***"
="",="(0.009)",="(0.032)",="(0.009)",="(0.018)",="(0.042)",="(0.021)"
="year==2011",="-0.127***",="-0.147***",="0.030***",="-0.095***",="-0.017",="0.060***"
="",="(0.007)",="(0.026)",="(0.009)",="(0.015)",="(0.025)",="(0.018)"
="year==2016",="-0.139***",="-0.122***",="0.044***",="-0.071***",="-0.173***",="0.143***"
="",="(0.010)",="(0.041)",="(0.014)",="(0.025)",="(0.050)",="(0.037)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.124",="-0.104",="-0.227",="0.792***",="-0.423",="-1.009***"
="",="(0.119)",="(0.399)",="(0.175)",="(0.182)",="(0.373)",="(0.283)"
="L.share_college",="-0.771***",="-1.988***",="0.806***",="-0.921***",="-1.066**",="1.040***"
="",="(0.062)",="(0.249)",="(0.088)",="(0.335)",="(0.475)",="(0.358)"
="N",="700.000",="700.000",="700.000",="1780.000",="1780.000",="1780.000"
="widstat",="171.431",="171.431",="171.431",="339.852",="339.852",="339.852"
="arf",="10.376",="0.469",="2.014",="0.240",="11.391",="12.474"
="arfp",="0.002",="0.494",="0.158",="0.625",="0.001",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
