="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="-0.820",="-0.215*",="-0.039"
="",="(0.706)",="(0.112)",="(0.054)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.147***",="-0.019",="-0.009"
="",="(0.015)",="(0.028)",="(0.011)"
="year==2006",="0.000",="-0.025",="0.204***"
="",="(.)",="(0.028)",="(0.016)"
="year==2011",="0.244*",="-0.020",="0.013"
="",="(0.147)",="(0.028)",="(0.008)"
="year==2016",="0.071*",="0.000",="0.000"
="",="(0.037)",="(.)",="(.)"
="year==2021",="0.080**",="-0.103***",="0.032***"
="",="(0.032)",="(0.029)",="(0.008)"
="Constant",="-0.016",="0.097***",="0.049***"
="",="(0.040)",="(0.029)",="(0.008)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.017",="0.012",="0.138"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="-1.790",="0.195",="0.123"
="",="(1.895)",="(0.263)",="(0.142)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.011",="0.110***",="-0.032**"
="",="(0.110)",="(0.024)",="(0.013)"
="year==2006",="-0.119",="0.098***",="0.178***"
="",="(0.078)",="(0.022)",="(0.021)"
="year==2011",="0.245",="0.049*",="-0.033**"
="",="(0.217)",="(0.029)",="(0.015)"
="year==2016",="-0.000",="0.093***",="-0.034***"
="",="(0.023)",="(0.029)",="(0.008)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2477.000",="2451.000",="2480.000"
="r2",="0.024",="0.014",="0.162"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="1.665",="-1.229*",="-1.328***"
="",="(1.385)",="(0.689)",="(0.400)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.185*",="0.017",="-0.121***"
="",="(0.097)",="(0.061)",="(0.031)"
="year==2006",="-0.002",="0.038",="0.095***"
="",="(0.076)",="(0.051)",="(0.022)"
="year==2011",="-0.063",="0.170***",="0.062*"
="",="(0.052)",="(0.061)",="(0.035)"
="year==2016",="-0.046**",="0.115***",="-0.049***"
="",="(0.019)",="(0.038)",="(0.013)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="0.332",="-0.717",="2.860***"
="",="(1.017)",="(0.717)",="(0.662)"
="L.share_college",="-0.240",="-0.328",="0.669***"
="",="(0.221)",="(0.299)",="(0.226)"
="N",="2477.000",="2451.000",="2480.000"
="widstat",="175.201",="195.553",="175.877"
="arf",="1.521",="3.305",="12.614"
="arfp",="0.218",="0.070",="0.000"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
