="Table 4: HETEROGENEITY1"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="-1.036***",="0.033",="-0.067**",="3.940*",="5.555***",="-0.935**"
="",="(0.317)",="(0.142)",="(0.033)",="(2.090)",="(2.060)",="(0.457)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="-0.012",="0.158***",="0.015**",="0.394***",="0.655***",="-0.009"
="",="(0.045)",="(0.031)",="(0.006)",="(0.138)",="(0.161)",="(0.033)"
="year==2006",="-0.101***",="0.003",="0.023***",="0.261**",="0.386***",="0.001"
="",="(0.035)",="(0.020)",="(0.005)",="(0.111)",="(0.121)",="(0.028)"
="year==2011",="0.444***",="-0.036**",="0.001",="0.102",="-0.358**",="0.080**"
="",="(0.037)",="(0.014)",="(0.004)",="(0.153)",="(0.160)",="(0.035)"
="year==2016",="0.560***",="-0.220***",="-0.027***",="0.608***",="-0.151***",="-0.049***"
="",="(0.033)",="(0.010)",="(0.002)",="(0.047)",="(0.054)",="(0.010)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="1.317***",="-0.225",="-0.231***",="0.446",="-0.379",="0.533"
="",="(0.436)",="(0.252)",="(0.064)",="(1.013)",="(1.063)",="(0.340)"
="L.share_college",="0.111",="0.868***",="-0.023",="1.829*",="4.117***",="0.215"
="",="(0.209)",="(0.138)",="(0.036)",="(1.057)",="(1.253)",="(0.335)"
="N",="700.000",="700.000",="700.000",="1774.000",="1707.000",="1780.000"
="widstat",="140.525",="140.525",="140.525",="52.579",="80.633",="53.401"
="arf",="11.469",="0.053",="4.157",="4.077",="8.021",="4.460"
="arfp",="0.001",="0.818",="0.043",="0.044",="0.005",="0.035"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 4: HETEROGENEITY2"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)",="outcome var(ver2.4.)"
="growth rate (other-excl ZZZ)",="0.095",="0.067",="-0.353***",="4.044",="-2.189",="-2.905***"
="",="(0.078)",="(0.089)",="(0.077)",="(3.785)",="(1.767)",="(0.998)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.183***",="0.015",="-0.101***",="0.262",="-0.089",="-0.172***"
="",="(0.017)",="(0.021)",="(0.019)",="(0.242)",="(0.132)",="(0.058)"
="year==2006",="0.001",="0.004",="0.095***",="0.080",="-0.040",="0.048"
="",="(0.015)",="(0.017)",="(0.015)",="(0.204)",="(0.110)",="(0.044)"
="year==2011",="0.042***",="-0.040***",="0.004",="-0.217",="0.221*",="0.174**"
="",="(0.013)",="(0.015)",="(0.010)",="(0.178)",="(0.129)",="(0.079)"
="year==2016",="0.048***",="-0.055***",="-0.025***",="-0.041",="0.132**",="-0.075***"
="",="(0.009)",="(0.011)",="(0.006)",="(0.044)",="(0.052)",="(0.017)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.446*",="-0.423**",="0.125",="0.396",="-0.741",="3.227***"
="",="(0.230)",="(0.202)",="(0.190)",="(1.250)",="(0.868)",="(0.724)"
="L.share_college",="0.400***",="-0.438***",="0.019",="-0.740",="-2.226**",="1.467**"
="",="(0.097)",="(0.124)",="(0.098)",="(0.797)",="(1.118)",="(0.648)"
