="Panel A: Overall (POLS)"
="",="(1)",="(2)",="(3)",="(4)"
="",="Unemployment",="High skill",="Mid skill",="Low skill"
="immigration share(denominator:pop i,91)",="0.012***",="-0.019",="0.066***",="-0.057***"
="",="(0.004)",="(0.023)",="(0.014)",="(0.013)"
="year==1996",="0.041***",="0.029***",="-0.175***",="0.098***"
="",="(0.002)",="(0.004)",="(0.003)",="(0.004)"
="year==2001",="0.024***",="0.041***",="-0.182***",="0.117***"
="",="(0.001)",="(0.004)",="(0.003)",="(0.003)"
="year==2006",="0.005***",="-0.006*",="-0.007***",="0.011***"
="",="(0.001)",="(0.003)",="(0.002)",="(0.002)"
="year==2011",="0.006***",="-0.010***",="0.004***",="0.002"
="",="(0.001)",="(0.002)",="(0.002)",="(0.002)"
="year==2016",="0.018***",="-0.015***",="-0.002**",="0.002"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="Constant",="0.042***",="0.350***",="0.309***",="0.279***"
="",="(0.002)",="(0.008)",="(0.005)",="(0.004)"
="Observations",="2,976",="2,976",="2,976",="2,976"
="R-squared",="0.201",="0.045",="0.754",="0.393"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Panel B: Overall (FE)"
="",="(1)",="(2)",="(3)",="(4)"
="",="unempl_rate",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,91)",="-0.003",="0.028***",="0.032***",="-0.054***"
="",="(0.005)",="(0.009)",="(0.010)",="(0.011)"
="year==1996",="0.039***",="0.036***",="-0.180***",="0.099***"
="",="(0.002)",="(0.003)",="(0.003)",="(0.004)"
="year==2001",="0.022***",="0.047***",="-0.186***",="0.117***"
="",="(0.002)",="(0.003)",="(0.003)",="(0.004)"
="year==2006",="0.003**",="-0.001",="-0.011***",="0.011***"
="",="(0.001)",="(0.003)",="(0.002)",="(0.003)"
="year==2011",="0.005***",="-0.006***",="0.001",="0.002"
="",="(0.001)",="(0.002)",="(0.001)",="(0.002)"
="year==2016",="0.018***",="-0.014***",="-0.003***",="0.002"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="Observations",="2,976",="2,976",="2,976",="2,976"
="R-squared",="0.388",="0.406",="0.931",="0.717"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
