="Robustness: Leave-out IV (excl. India)"
="",="(1)",="(2)",="(3)",="(4)"
="",="Unemployment",="High skill",="Mid skill",="Low skill"
="immigration share(denominator:pop i,91)",="0.161**",="0.317*",="-0.195*",="-0.345**"
="",="(0.076)",="(0.183)",="(0.117)",="(0.176)"
="year==1996",="0.045***",="0.097***",="-0.200***",="0.049***"
="",="(0.006)",="(0.014)",="(0.008)",="(0.014)"
="year==2001",="0.028***",="0.096***",="-0.203***",="0.077***"
="",="(0.005)",="(0.012)",="(0.007)",="(0.012)"
="year==2006",="0.011**",="0.042***",="-0.029***",="-0.025**"
="",="(0.005)",="(0.012)",="(0.007)",="(0.012)"
="year==2011",="0.011***",="0.025***",="-0.012**",="-0.025***"
="",="(0.004)",="(0.010)",="(0.006)",="(0.009)"
="year==2016",="0.018***",="-0.004*",="-0.005***",="-0.006***"
="",="(0.001)",="(0.002)",="(0.002)",="(0.002)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.192**",="0.182",="0.142",="-0.063"
="",="(0.080)",="(0.166)",="(0.122)",="(0.166)"
="First stage: Immigration share",="0.384",="0.384",="0.384",="0.384"
="\ \ \ \ (SE)",="0.173",="0.173",="0.173",="0.173"
="C-D F-stat",="41.322",="41.322",="41.322",="41.322"
="KP F-statistic",="4.91",="4.91",="4.91",="4.91"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="7.274",="16.944",="8.313",="14.956"
="AR p-value",="0",="0",="0",="0"
="Observations",="2,976",="2,976",="2,976",="2,976"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
