="Table 2A: POLS"
="",="(1)",="(2)",="(3)"
="",="grow_share_college",="grow_share_fe_college",="grow_fe_stem_share"
="growth rate",="0.163",="0.136",="-0.204"
="",="(0.105)",="(0.144)",="(0.217)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.133***",="0.231***",="0.066***"
="",="(0.010)",="(0.014)",="(0.023)"
="year==2006",="0.042***",="0.066***",="-0.028"
="",="(0.016)",="(0.021)",="(0.035)"
="year==2011",="0.075***",="0.082***",="0.048"
="",="(0.013)",="(0.015)",="(0.030)"
="year==2016",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2021",="0.069***",="0.064***",="-0.003"
="",="(0.016)",="(0.022)",="(0.034)"
="Constant",="0.110***",="0.125***",="0.133***"
="",="(0.020)",="(0.029)",="(0.042)"
="N",="2480.000",="2480.000",="2351.000"
="r2",="0.064",="0.139",="0.005"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2B: FE"
="",="(1)",="(2)",="(3)"
="",="grow_share_college",="grow_share_fe_college",="grow_fe_stem_share"
="growth rate",="0.158",="0.234",="-0.725*"
="",="(0.164)",="(0.236)",="(0.387)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.065***",="0.154***",="0.148***"
="",="(0.021)",="(0.030)",="(0.040)"
="year==2006",="-0.027***",="-0.001",="0.008"
="",="(0.009)",="(0.010)",="(0.029)"
="year==2011",="0.006",="0.012",="0.072**"
="",="(0.016)",="(0.020)",="(0.037)"
="year==2016",="-0.068***",="-0.079**",="0.087*"
="",="(0.024)",="(0.035)",="(0.048)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="N",="2480.000",="2480.000",="2343.000"
="r2",="0.077",="0.165",="0.007"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table 2C: FEIV"
="",="(1)",="(2)",="(3)"
="",="grow_share_college",="grow_share_fe_college",="grow_fe_stem_share"
="growth rate",="0.052",="0.079",="-1.094"
="",="(0.319)",="(0.339)",="(0.781)"
="year==1996",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year==2001",="0.097**",="0.190***",="0.210**"
="",="(0.042)",="(0.045)",="(0.095)"
="year==2006",="-0.004",="0.021",="0.033"
="",="(0.021)",="(0.015)",="(0.031)"
="year==2011",="0.031",="0.037*",="0.109**"
="",="(0.023)",="(0.022)",="(0.047)"
="year==2016",="-0.038",="-0.043",="0.154"
="",="(0.048)",="(0.052)",="(0.114)"
="year==2021",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.961",="-0.849**",="-0.821"
="",="(0.785)",="(0.415)",="(0.830)"
="N",="2480.000",="2480.000",="2343.000"
="cdf",="945.625",="945.625",="1086.215"
="arf",="0.027",="0.054",="1.922"
="arfp",="0.870",="0.817",="0.166"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
