="Table 4: HETEROGENEITY2"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="grow_share_college",="grow_share_fe_college",="grow_fe_stem_share",="grow_share_college",="grow_share_fe_college",="grow_fe_stem_share"
="growth rate",="-0.484***",="-0.536***",="-0.412",="-0.072",="-0.146",="-1.810"
="",="(0.183)",="(0.201)",="(0.295)",="(0.488)",="(0.521)",="(1.227)"
="year==1996",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year==2001",="0.078***",="0.162***",="0.040*",="0.140*",="0.255***",="0.375**"
="",="(0.016)",="(0.017)",="(0.024)",="(0.077)",="(0.081)",="(0.180)"
="year==2006",="0.041***",="0.069***",="0.021*",="-0.016",="0.013",="0.065"
="",="(0.012)",="(0.012)",="(0.012)",="(0.031)",="(0.023)",="(0.051)"
="year==2011",="0.058***",="0.083***",="0.001",="0.040",="0.048",="0.175***"
="",="(0.018)",="(0.018)",="(0.021)",="(0.033)",="(0.031)",="(0.067)"
="year==2016",="0.036",="0.060**",="0.041",="-0.021",="-0.016",="0.279"
="",="(0.026)",="(0.028)",="(0.040)",="(0.078)",="(0.084)",="(0.189)"
="year==2021",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L.share_popfifold",="-0.752**",="-0.831***",="0.182",="-1.039",="-0.951**",="-1.301"
="",="(0.309)",="(0.285)",="(0.332)",="(0.921)",="(0.477)",="(1.014)"
="N",="700.000",="700.000",="700.000",="1780.000",="1780.000",="1643.000"
="cdf",="226.980",="226.980",="226.980",="802.167",="802.167",="986.139"
="arf",="7.777",="8.331",="1.947",="0.022",="0.079",="2.101"
="arfp",="0.006",="0.005",="0.165",="0.883",="0.779",="0.148"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
