="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res"
="immigration_res",="0.036",="0.148*",="-0.026",="-0.168",="0.136",="-0.015",="-0.691",="0.160",="0.192",="0.218",="0.022",="0.643",="5.349",="-0.457",="0.583",="0.203***",="0.383",="0.155",="0.209*",="0.053",="-0.007",="-0.012",="-0.032",="0.031",="0.160*",="-0.083",="-4.167",="0.134",="-0.016"
="",="(0.089)",="(0.089)",="(0.037)",="(0.102)",="(0.089)",="(0.029)",="(0.896)",="(0.111)",="(0.126)",="(0.184)",="(0.047)",="(0.427)",="(36.654)",="(0.749)",="(0.449)",="(0.053)",="(0.375)",="(0.102)",="(0.107)",="(0.046)",="(0.032)",="(0.032)",="(0.048)",="(0.064)",="(0.082)",="(0.101)",="(32.765)",="(0.110)",="(0.044)"
="_cons",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="-0.000",="0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000"
="cdf",="11.032",="1.577",="15.265",="0.846",="1.543",="24.408",="0.039",="0.093",="0.418",="3.080",="18.787",="0.652",="0.000",="0.047",="0.074",="1.753",="0.006",="0.826",="3.463",="11.314",="48.401",="29.228",="1.731",="6.691",="3.675",="1.045",="0.000",="7.535",="15.738"
="arf",="0.178",="2.881",="0.496",="2.504",="2.426",="0.291",="5.468",="2.407",="4.437",="2.743",="0.223",="7.726",="2.460",="2.702",="12.577",="15.883",="2.678",="1.859",="10.074",="1.445",="0.047",="0.142",="0.440",="0.268",="3.031",="1.441",="4.595",="2.744",="0.133"
="arfp",="0.673",="0.090",="0.482",="0.114",="0.120",="0.590",="0.020",="0.121",="0.036",="0.098",="0.637",="0.006",="0.117",="0.101",="0.000",="0.000",="0.102",="0.173",="0.002",="0.230",="0.828",="0.706",="0.507",="0.605",="0.082",="0.231",="0.033",="0.098",="0.715"
="widstat",="21.677",="3.682",="16.284",="2.062",="4.134",="23.704",="0.975",="5.548",="4.075",="4.304",="18.920",="3.110",="0.021",="0.673",="1.614",="10.800",="0.733",="9.603",="7.994",="23.263",="16.669",="25.514",="4.126",="16.348",="3.565",="4.899",="0.017",="8.076",="11.970"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res"
="immigration_res",="0.036",="0.148*",="-0.026",="-0.168",="0.136",="-0.015",="-0.691",="0.160",="0.192",="0.218",="0.022",="0.643",="5.349",="-0.457",="0.583",="0.203***",="0.383",="0.155",="0.209*",="0.053",="-0.007",="-0.012",="-0.032",="0.031",="0.160*",="-0.083",="-4.167",="0.134",="-0.016"
="",="(0.089)",="(0.089)",="(0.037)",="(0.102)",="(0.089)",="(0.029)",="(0.896)",="(0.111)",="(0.126)",="(0.184)",="(0.047)",="(0.427)",="(36.654)",="(0.749)",="(0.449)",="(0.053)",="(0.375)",="(0.102)",="(0.107)",="(0.046)",="(0.032)",="(0.032)",="(0.048)",="(0.064)",="(0.082)",="(0.101)",="(32.765)",="(0.110)",="(0.044)"
="_cons",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="-0.000",="0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000"
="cdf",="11.032",="1.577",="15.265",="0.846",="1.543",="24.408",="0.039",="0.093",="0.418",="3.080",="18.787",="0.652",="0.000",="0.047",="0.074",="1.753",="0.006",="0.826",="3.463",="11.314",="48.401",="29.228",="1.731",="6.691",="3.675",="1.045",="0.000",="7.535",="15.738"
="arf",="0.178",="2.881",="0.496",="2.504",="2.426",="0.291",="5.468",="2.407",="4.437",="2.743",="0.223",="7.726",="2.460",="2.702",="12.577",="15.883",="2.678",="1.859",="10.074",="1.445",="0.047",="0.142",="0.440",="0.268",="3.031",="1.441",="4.595",="2.744",="0.133"
="arfp",="0.673",="0.090",="0.482",="0.114",="0.120",="0.590",="0.020",="0.121",="0.036",="0.098",="0.637",="0.006",="0.117",="0.101",="0.000",="0.000",="0.102",="0.173",="0.002",="0.230",="0.828",="0.706",="0.507",="0.605",="0.082",="0.231",="0.033",="0.098",="0.715"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
