="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res"
="immigration_res",="1.014",="0.690",="-0.260",="1.862",="4.085",="2.342",="13.779",="8.826**",="6.713**",="1.381",="5.502",="-2.771",="5.649",="1.447*",="-4.639",="0.751",="-36.271",="0.901***",="0.524",="0.562",="10.373",="0.305",="1.357",="4.147",="4.641",="-2.950",="1.544*",="-9.075",="1.314"
="",="(7.941)",="(0.843)",="(8.053)",="(1.214)",="(4.523)",="(7.524)",="(8.667)",="(4.342)",="(3.052)",="(0.876)",="(26.629)",="(2.807)",="(3.560)",="(0.836)",="(7.067)",="(1.873)",="(112.114)",="(0.340)",="(1.293)",="(13.346)",="(7.822)",="(19.934)",="(2.170)",="(3.617)",="(5.499)",="(9.099)",="(0.915)",="(13.993)",="(1.953)"
="_cons",="0.000",="0.000*",="0.000",="0.000",="0.000",="0.000",="-0.000",="0.000",="0.000",="0.000",="0.000",="0.000*",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000"
="cdf",="1.051",="16.144",="1.743",="67.717",="0.545",="3.839",="0.281",="9.562",="5.624",="48.268",="0.647",="15.169",="0.185",="2.051",="0.488",="4.702",="0.031",="27.641",="27.656",="0.211",="5.695",="0.276",="10.630",="2.891",="1.073",="0.170",="24.271",="0.646",="67.207"
="arf",="0.016",="0.722",="0.001",="2.188",="0.626",="0.098",="12.033",="7.922",="12.789",="2.283",="0.053",="1.408",="3.422",="2.629",="0.441",="0.184",="3.395",="6.595",="0.153",="0.002",="2.000",="0.000",="0.392",="2.220",="1.295",="0.084",="2.742",="0.535",="0.450"
="arfp",="0.899",="0.396",="0.974",="0.140",="0.429",="0.754",="0.001",="0.005",="0.000",="0.131",="0.818",="0.236",="0.065",="0.106",="0.507",="0.668",="0.066",="0.011",="0.696",="0.967",="0.158",="0.988",="0.531",="0.137",="0.256",="0.771",="0.098",="0.465",="0.503"
="widstat",="1.939",="53.221",="1.280",="26.823",="2.530",="1.471",="3.650",="18.960",="6.238",="43.012",="0.266",="17.836",="1.307",="48.915",="6.962",="19.627",="0.103",="56.260",="16.486",="1.405",="18.898",="0.443",="18.067",="14.059",="2.795",="0.344",="21.776",="4.252",="22.909"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res"
="bb1",="-0.397",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.285)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb2",="",="0.394***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.054)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb3",="",="",="-0.791",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.699)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb4",="",="",="",="11.766***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.272)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb5",="",="",="",="",="-0.312",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.196)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb6",="",="",="",="",="",="0.086",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.071)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb7",="",="",="",="",="",="",="0.155*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.081)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb8",="",="",="",="",="",="",="",="1.347***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.309)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb9",="",="",="",="",="",="",="",="",="0.820**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.328)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb10",="",="",="",="",="",="",="",="",="",="0.575***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.088)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb11",="",="",="",="",="",="",="",="",="",="",="0.180",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.350)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb12",="",="",="",="",="",="",="",="",="",="",="",="1.640***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.388)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb13",="",="",="",="",="",="",="",="",="",="",="",="",="-0.351",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.307)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb14",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.156***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.022)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb15",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.432***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.164)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb16",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.716***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.162)",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb17",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.138",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.431)",="",="",="",="",="",="",="",="",="",="",="",=""
="bb18",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.672***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.223)",="",="",="",="",="",="",="",="",="",="",=""
="bb19",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.962***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.237)",="",="",="",="",="",="",="",="",="",=""
="bb20",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.164",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.138)",="",="",="",="",="",="",="",="",=""
="bb21",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.105***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.024)",="",="",="",="",="",="",="",=""
="bb22",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.068",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.103)",="",="",="",="",="",="",=""
="bb23",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.617***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.380)",="",="",="",="",="",=""
="bb24",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.719***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.192)",="",="",="",="",=""
="bb25",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.401*",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.240)",="",="",="",=""
="bb26",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.060",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.103)",="",="",=""
="bb27",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.851***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.182)",="",=""
="bb28",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.121**",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.059)",=""
="bb29",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.096***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.020)"
="_cons",="0.000",="-0.001***",="-0.000",="-0.002***",="0.000",="-0.000",="0.000*",="-0.001***",="-0.001***",="-0.003***",="-0.000",="-0.001***",="0.000",="0.001***",="-0.000**",="-0.000***",="0.000",="-0.002***",="-0.002***",="-0.000",="-0.001***",="-0.000",="0.001***",="-0.000***",="-0.000*",="0.000",="-0.001***",="-0.000**",="-0.004***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)"
="N",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000",="2411.000"
="cdf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="arf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="arfp",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
