="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res",="p_t_res"
="immigration_res",="6.862",="1.516***",="1.953",="-3.574***",="22.379***",="3.529",="7.166**",="-1.001**",="-2.405",="-0.170",="18.855",="-3.649***",="5.323**",="-3.045***",="37.880*",="1.658",="5.476",="-2.166***",="-0.572",="-0.397",="5.174**",="29.198",="-1.656",="3.008*",="-6.427***",="-4.425",="-4.843***",="3.748",="0.574"
="",="(8.059)",="(0.538)",="(7.008)",="(0.678)",="(6.245)",="(3.419)",="(3.645)",="(0.443)",="(2.613)",="(0.340)",="(56.177)",="(0.850)",="(2.185)",="(1.105)",="(19.348)",="(1.188)",="(43.989)",="(0.463)",="(0.937)",="(2.575)",="(2.320)",="(81.793)",="(1.124)",="(1.639)",="(2.295)",="(8.632)",="(1.206)",="(6.293)",="(0.705)"
="_cons",="-0.000",="-0.000",="-0.000",="0.000",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="-0.000",="-0.000",="0.000",="-0.000",="0.000",="-0.000",="-0.000",="-0.000",="0.000",="-0.000",="-0.000",="-0.000",="-0.000",="0.000",="-0.000",="0.000",="0.000",="0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000"
="cdf",="0.482",="13.892",="0.240",="65.149",="1.877",="4.755",="0.394",="9.193",="6.279",="49.387",="0.298",="14.516",="0.222",="2.042",="0.295",="4.287",="0.005",="27.394",="26.388",="0.384",="5.737",="0.091",="12.717",="2.747",="1.005",="0.335",="24.103",="0.440",="65.863"
="arf",="0.763",="11.141",="0.103",="20.603",="5.659",="2.648",="23.962",="4.720",="0.505",="0.249",="1.165",="9.449",="0.884",="5.626",="28.700",="1.558",="0.270",="16.530",="0.388",="0.025",="6.926",="4.979",="1.877",="1.846",="4.732",="0.220",="15.144",="0.466",="0.626"
="arfp",="0.383",="0.001",="0.748",="0.000",="0.018",="0.104",="0.000",="0.030",="0.478",="0.618",="0.281",="0.002",="0.348",="0.018",="0.000",="0.213",="0.604",="0.000",="0.533",="0.873",="0.009",="0.026",="0.171",="0.175",="0.030",="0.639",="0.000",="0.495",="0.429"
="widstat",="0.818",="46.046",="0.180",="25.200",="29.850",="1.799",="5.526",="18.251",="6.260",="47.964",="0.107",="18.960",="1.426",="48.843",="4.311",="20.783",="0.019",="59.343",="12.358",="2.099",="19.984",="0.154",="21.646",="15.173",="2.901",="0.659",="21.732",="3.043",="21.875"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
="Table: IV regression with each share"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)"
="",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res",="immigration_res"
="bb1",="-0.258",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.286)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb2",="",="0.374***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.055)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb3",="",="",="-0.298",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.704)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb4",="",="",="",="11.698***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.330)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb5",="",="",="",="",="-0.417***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.076)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb6",="",="",="",="",="",="0.097",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.072)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb7",="",="",="",="",="",="",="0.188**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.080)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb8",="",="",="",="",="",="",="",="1.353***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.317)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb9",="",="",="",="",="",="",="",="",="0.888**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.355)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb10",="",="",="",="",="",="",="",="",="",="0.583***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.084)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb11",="",="",="",="",="",="",="",="",="",="",="0.115",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.352)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb12",="",="",="",="",="",="",="",="",="",="",="",="1.646***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.378)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb13",="",="",="",="",="",="",="",="",="",="",="",="",="-0.394",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.330)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb14",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.159***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.023)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb15",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.344**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.166)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb16",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.695***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.152)",="",="",="",="",="",="",="",="",="",="",="",="",=""
="bb17",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.059",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.432)",="",="",="",="",="",="",="",="",="",="",="",=""
="bb18",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.702***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.221)",="",="",="",="",="",="",="",="",="",="",=""
="bb19",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.911***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.259)",="",="",="",="",="",="",="",="",="",=""
="bb20",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.213",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.147)",="",="",="",="",="",="",="",="",=""
="bb21",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.102***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.023)",="",="",="",="",="",="",="",=""
="bb22",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.038",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.096)",="",="",="",="",="",="",=""
="bb23",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.794***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.386)",="",="",="",="",="",=""
="bb24",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.703***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.181)",="",="",="",="",=""
="bb25",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.398*",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.233)",="",="",="",=""
="bb26",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.078",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.096)",="",="",=""
="bb27",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.868***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.186)",="",=""
="bb28",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.100*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.058)",=""
="bb29",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.097***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.021)"
="_cons",="0.000",="-0.001***",="-0.000",="-0.002***",="0.000***",="-0.000",="0.000**",="-0.001***",="-0.001***",="-0.003***",="-0.000",="-0.001***",="0.000",="0.001***",="-0.000**",="-0.000***",="-0.000",="-0.002***",="-0.002***",="-0.000",="-0.001***",="-0.000",="0.001***",="-0.000***",="-0.000*",="0.000",="-0.001***",="-0.000*",="-0.004***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)"
="N",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000",="2480.000"
="cdf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="arf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="arfp",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
